Date,Close,ti
01-06-2018,1055.300049,1
04-06-2018,1023.099976,2
05-06-2018,1031.800049,3
06-06-2018,1028.680054,4
07-06-2018,1031.099976,5
08-06-2018,1024.680054,6
11-06-2018,1021.150024,7
12-06-2018,1021.919983,8
13-06-2018,1015.719971,9
14-06-2018,1018.700012,10
15-06-2018,1014.799988,11
18-06-2018,1009.580017,12
19-06-2018,1011.75,13
20-06-2018,1028.069946,14
21-06-2018,1028.800049,15
22-06-2018,1041.680054,16
25-06-2018,1047.469971,17
26-06-2018,1046.849976,18
27-06-2018,1056.300049,19
28-06-2018,1065.430054,20
29-06-2018,1054.219971,21
02-07-2018,1036.619995,22
03-07-2018,1035.099976,23
04-07-2018,1051.780029,24
05-07-2018,1061.880005,25
06-07-2018,1057.569946,26
09-07-2018,1062.819946,27
10-07-2018,1073.199951,28
11-07-2018,1074.119995,29
12-07-2018,1082.969971,30
13-07-2018,1090.449951,31
16-07-2018,1084.430054,32
17-07-2018,1088.380005,33
18-07-2018,1088.099976,34
19-07-2018,1093.050049,35
20-07-2018,1094.530029,36
23-07-2018,1078.219971,37
24-07-2018,1079.880005,38
25-07-2018,1085.180054,39
26-07-2018,1096.300049,40
27-07-2018,1101.069946,41
30-07-2018,1084.949951,42
31-07-2018,1089.75,43
01-08-2018,1079.349976,44
02-08-2018,1065.099976,45
03-08-2018,1060.819946,46
06-08-2018,1057.150024,47
07-08-2018,1065.449951,48
08-08-2018,1068.180054,49
09-08-2018,1059.25,50
10-08-2018,1057.219971,51
13-08-2018,1045.819946,52
14-08-2018,1044.550049,53
16-08-2018,1037.849976,54
17-08-2018,1038.680054,55
20-08-2018,1048.099976,56
21-08-2018,1048.030029,57
23-08-2018,1039.949951,58
24-08-2018,1034.930054,59
27-08-2018,1040.219971,60
28-08-2018,1047.430054,61
29-08-2018,1039.25,62
30-08-2018,1033.050049,63
31-08-2018,1030.599976,64
03-09-2018,1037.530029,65
04-09-2018,1025.900024,66
05-09-2018,1022.919983,67
06-09-2018,1026.099976,68
07-09-2018,1028.469971,69
10-09-2018,1020.580017,70
11-09-2018,1000.200012,71
12-09-2018,1005.919983,72
14-09-2018,1014.799988,73
17-09-2018,996.099976,74
18-09-2018,994.599976,75
19-09-2018,980.674988,76
21-09-2018,985.125,77
24-09-2018,962.849976,78
25-09-2018,976.200012,79
26-09-2018,984.099976,80
27-09-2018,988.075012,81
28-09-2018,1003.030029,82
01-10-2018,1017.719971,83
03-10-2018,1015.580017,84
04-10-2018,978.875,85
05-10-2018,982.650024,86
08-10-2018,972.5,87
09-10-2018,970.299988,88
10-10-2018,983.575012,89
11-10-2018,968.775024,90
12-10-2018,990.924988,91
